circuit,source_sha256,qubits,gates,reduction_max_nodes,duration_seconds,status,error,amplitudes,contained_amplitudes,containment_rate,midpoint_fidelity,midpoint_l2_error,midpoint_norm,mean_diameter,max_diameter,l2_radius,certified_l2_error_bound
contrived/layered_random_n8,42dd190cd0a2b8d7a7292134086a7867fb18bbe1e5b1b2329ac29d046a0bee36,8,46,2,1.554624,ok,,256,256,1.0,0.13083788685862094,1.4057392575178445,1.4138277176242555,6.827335790992634,6.827335790992631,54.61868632794105,2.413827717624255
contrived/layered_random_n8,42dd190cd0a2b8d7a7292134086a7867fb18bbe1e5b1b2329ac29d046a0bee36,8,46,4,0.522288,ok,,256,256,1.0,0.6507152173041597,0.591003200241623,0.8066692118236319,5.110032204165785,5.110032204165784,40.88025763332627,1.806669211823633
contrived/layered_random_n8,42dd190cd0a2b8d7a7292134086a7867fb18bbe1e5b1b2329ac29d046a0bee36,8,46,8,0.130017,ok,,256,256,1.0,0.10435362110077649,1.2899214599071365,1.1745248503924004,6.150485070284522,6.150485070284523,49.20388056227618,2.174524850392402
contrived/layered_random_n8,42dd190cd0a2b8d7a7292134086a7867fb18bbe1e5b1b2329ac29d046a0bee36,8,46,16,0.171611,ok,,256,256,1.0,0.17408585034120763,1.0258960844286267,0.8358193671476853,5.192481294174897,5.192481294174897,41.53985035339917,1.8358193671476848
small/adder_n4,30f0be9eb50d37ab2de7c87676e32ff7c66bc67eff32dfeafa0cf69951d92438,4,23,exact,0.002516,ok,,16,16,1.0,1.0,6.711594006118089e-16,1.0000000000000002,0.0,0.0,0.0,0.0
small/adder_n4,30f0be9eb50d37ab2de7c87676e32ff7c66bc67eff32dfeafa0cf69951d92438,4,23,1,0.002373,ok,,16,16,1.0,0.10669417382415926,1.7018950054003699,1.7320508075688772,7.72740661031255,7.72740661031255,15.4548132206251,2.732050807568878
small/adder_n4,30f0be9eb50d37ab2de7c87676e32ff7c66bc67eff32dfeafa0cf69951d92438,4,23,2,0.002504,ok,,16,16,1.0,0.24999999999999994,1.3228756555322956,1.5000000000000002,7.071067811865478,7.071067811865478,14.142135623730956,2.5000000000000004
small/adder_n4,30f0be9eb50d37ab2de7c87676e32ff7c66bc67eff32dfeafa0cf69951d92438,4,23,4,0.002262,ok,,16,16,1.0,1.0,8.88492324807455e-16,1.0000000000000004,5.656854249492382,5.656854249492382,11.313708498984765,2.0000000000000004
small/adder_n4,30f0be9eb50d37ab2de7c87676e32ff7c66bc67eff32dfeafa0cf69951d92438,4,23,8,0.002208,ok,,16,16,1.0,1.0,8.88492324807455e-16,1.0000000000000004,5.656854249492382,5.656854249492382,11.313708498984765,2.0000000000000004
small/adder_n4,30f0be9eb50d37ab2de7c87676e32ff7c66bc67eff32dfeafa0cf69951d92438,4,23,16,0.002142,ok,,16,16,1.0,1.0,6.711594006118089e-16,1.0000000000000002,0.0,0.0,0.0,0.0
